time,open,high,low,close
1597831200,6083.9,6095.5,6070.6,6089.9
1597845600,6089.8,6114.3,6086.5,6094.3
1597860000,6094.5,6104.6,6069,6073.7
1597874400,6075.6,6075.7,6031.5,6033.9
1597888800,6033.4,6034.3,6002,6021.1
1597903200,6021.1,6072.3,6004.1,6030.1
1597917600,6030.2,6049.9,6003,6021.8
1597932000,6021.6,6029.9,6004.8,6006.6
1597946400,6006.7,6017.9,6001,6008.7
1597960800,6011.7,6041.4,6002,6009.9
1597975200,6010.1,6021.9,6001.9,6014.4
1597989600,6014.4,6032.6,5974.4,6017
1598004000,6016.9,6022.5,5942,5985.3
1598018400,5985.1,6003.9,5974.5,5997.2
1598032800,5997.4,6015.2,5996.7,6004.5
1598220000,6018,6028,5999.7,6021.9
1598234400,6022,6032,6009.5,6029.9
1598248800,6030.2,6112.9,6027.2,6104.1
1598263200,6104.1,6116.6,6075.1,6082.5
1598277600,6082.7,6103.6,6080.5,6095.8
1598292000,6095.7,6109.4,6087.4,6105.1
1598306400,6105.7,6135.4,6103.7,6131.9
1598320800,6131.8,6134.9,6112.4,6114.4
1598335200,6114.5,6171.4,6098.3,6109.8
1598349600,6110,6119.6,6077.1,6078.4
1598364000,6078.3,6080,6009.3,6026.6
1598378400,6026.7,6048.9,6019.6,6042.3
1598392800,6042.2,6054.9,6030.7,6035.2
1598407200,6035.1,6049.7,6030.7,6040
1598421600,6040,6047.5,5986.2,6023
1598436000,6023.1,6048,6009,6029.9
1598450400,6029.9,6051.6,6018.3,6046
1598464800,6045.9,6059.1,6040.4,6052.9
1598479200,6049.4,6056.9,6037,6041.6
1598493600,6041.5,6050,6033.8,6039.2
1598508000,6038.2,6052,6005.5,6022.2
1598522400,6022.3,6059.6,6020,6051.7
1598536800,6051.9,6055.4,5982.7,5999.9
1598551200,5999.9,6015.1,5992.4,6005.6
1598565600,6007.4,6026.5,6001.8,6017.4
1598580000,6017.5,6040.1,6005.3,6034
1598594400,6034.3,6039.2,5957.2,6016.7
1598608800,6016.6,6018.7,5981.3,5989.2
1598623200,5989.4,5990.5,5948.4,5960
1598637600,5960.1,5982.3,5958.6,5976.9
1598824800,5989.9,5993.7,5974.4,5987
1598839200,5987.3,5990.9,5975.2,5976.1
1598853600,5976.5,5983.2,5959.4,5973.3
1598911200,5926.9,5945.5,5921.6,5945.3
1598925600,5945.3,5946.8,5933.4,5944.9
1598940000,5944.8,5968.7,5872.9,5875
1598954400,5875.1,5894,5817.4,5824.8
1598968800,5824.8,5869.8,5824.8,5843.4
1598983200,5843.5,5866.7,5840.3,5864.4
1598997600,5864.7,5892,5862.1,5879.2
1599012000,5879.4,5902.5,5875.9,5892.3
1599026400,5892.3,5978.6,5888.6,5963.2
1599040800,5963.2,5971.3,5927.1,5938.1
1599055200,5938.2,5958.9,5925.6,5955.3
1599069600,5955.2,5971.1,5948.7,5964.9
1599084000,5957.1,5971,5944.9,5968.9
1599098400,5968.9,5971.5,5949.3,5953
1599112800,5952.7,5999.3,5943.9,5977.1
1599127200,5976.8,5997.3,5952.7,5961.5
1599141600,5961.2,5970.1,5813.9,5818.8
1599156000,5818.8,5832.6,5793.6,5820.3
1599170400,5806.4,5834.1,5761.5,5826.8
1599184800,5826.9,5830.6,5804.6,5824.6
1599199200,5824.9,5898.3,5791.3,5895.6
1599213600,5895.7,5904,5840.6,5869.2
1599228000,5869.3,5881.2,5775.5,5815.6
1599242400,5815.5,5857.8,5806.4,5824.8
1599429600,5811.3,5863.6,5777.4,5857.2
1599444000,5857.7,5858.5,5837.5,5841.7
1599458400,5841.3,5890.3,5815.1,5874.3
1599472800,5874.4,5941.8,5868.9,5926.4
1599487200,5926.4,5948.6,5925.8,5944.8
1599501600,5944.7,5947.5,5933.7,5933.8
